Date,NAV
2023-03-22 18:30:00,25.15
2023-03-23 18:30:00,24.9
2023-03-26 18:30:00,24.66
2023-03-27 18:30:00,24.63
2023-03-28 18:30:00,25.01
2023-03-30 18:30:00,25.3
2023-04-02 18:30:00,25.44
2023-04-04 18:30:00,25.52
2023-04-05 18:30:00,25.68
2023-04-09 18:30:00,25.76
2023-04-10 18:30:00,25.79
2023-04-11 18:30:00,25.85
2023-04-12 18:30:00,25.84
2023-04-16 18:30:00,25.9
2023-04-17 18:30:00,25.91
2023-04-18 18:30:00,25.86
2023-04-19 18:30:00,25.79
2023-04-20 18:30:00,25.75
2023-04-23 18:30:00,25.85
2023-04-24 18:30:00,25.84
2023-04-25 18:30:00,25.84
2023-04-26 18:30:00,25.95
2023-04-27 18:30:00,26.12
2023-05-01 18:30:00,26.28
2023-05-02 18:30:00,26.36
2023-05-03 18:30:00,26.57
2023-05-04 18:30:00,26.45
2023-05-07 18:30:00,26.69
2023-05-08 18:30:00,26.63
2023-05-09 18:30:00,26.75
2023-05-10 18:30:00,26.9
2023-05-11 18:30:00,26.82
2023-05-14 18:30:00,26.98
2023-05-15 18:30:00,27.01
2023-05-16 18:30:00,27.07
2023-05-17 18:30:00,26.97
2023-05-18 18:30:00,27.09
2023-05-21 18:30:00,27.22
2023-05-22 18:30:00,27.17
2023-05-23 18:30:00,27.13
2023-05-24 18:30:00,27.21
2023-05-25 18:30:00,27.35
2023-05-28 18:30:00,27.41
2023-05-29 18:30:00,27.52
2023-05-30 18:30:00,27.58
2023-05-31 18:30:00,27.75
2023-06-01 18:30:00,27.81
2023-06-04 18:30:00,27.9
2023-06-05 18:30:00,28.04
2023-06-06 18:30:00,28.35
2023-06-07 18:30:00,28.21
2023-06-08 18:30:00,28.26
2023-06-11 18:30:00,28.38
2023-06-12 18:30:00,28.58
2023-06-13 18:30:00,28.71
2023-06-14 18:30:00,28.71
2023-06-15 18:30:00,28.91
2023-06-18 18:30:00,29.02
2023-06-19 18:30:00,29.12
2023-06-20 18:30:00,29.08
2023-06-21 18:30:00,28.99
2023-06-22 18:30:00,28.73
2023-06-25 18:30:00,28.88
2023-06-26 18:30:00,29.08
2023-06-27 18:30:00,29.16
2023-06-29 18:30:00,29.21
2023-07-02 18:30:00,29.28
2023-07-03 18:30:00,29.33
2023-07-04 18:30:00,29.41
2023-07-05 18:30:00,29.58
2023-07-06 18:30:00,29.48
2023-07-09 18:30:00,29.39
2023-07-10 18:30:00,29.55
2023-07-11 18:30:00,29.69
2023-07-12 18:30:00,29.61
2023-07-13 18:30:00,29.82
2023-07-16 18:30:00,30.03
2023-07-17 18:30:00,29.89
2023-07-18 18:30:00,30.15
2023-07-19 18:30:00,30.23
2023-07-20 18:30:00,30.13
2023-07-23 18:30:00,30.23
2023-07-24 18:30:00,30.37
2023-07-25 18:30:00,30.35
2023-07-26 18:30:00,30.28
2023-07-27 18:30:00,30.31
2023-07-30 18:30:00,30.54
2023-07-31 18:30:00,30.51
2023-08-01 18:30:00,30.24
2023-08-02 18:30:00,30.17
2023-08-03 18:30:00,30.36
2023-08-06 18:30:00,30.37
2023-08-07 18:30:00,30.53
2023-08-08 18:30:00,30.61
2023-08-09 18:30:00,30.46
2023-08-10 18:30:00,30.45
2023-08-13 18:30:00,30.26
2023-08-15 18:30:00,30.33
2023-08-16 18:30:00,30.32
2023-08-17 18:30:00,30.2
2023-08-20 18:30:00,30.48
2023-08-21 18:30:00,30.69
2023-08-22 18:30:00,30.81
2023-08-23 18:30:00,30.84
2023-08-24 18:30:00,30.84
2023-08-27 18:30:00,30.92
2023-08-28 18:30:00,31.01
2023-08-29 18:30:00,31.22
2023-08-30 18:30:00,31.46
2023-08-31 18:30:00,31.57
2023-09-03 18:30:00,31.69
2023-09-04 18:30:00,31.9
2023-09-05 18:30:00,31.89
2023-09-06 18:30:00,32.01
2023-09-07 18:30:00,32.22
2023-09-10 18:30:00,32.51
2023-09-11 18:30:00,31.69
2023-09-12 18:30:00,31.89
2023-09-13 18:30:00,32.1
2023-09-14 18:30:00,32.13
2023-09-17 18:30:00,31.94
2023-09-19 18:30:00,31.76
2023-09-20 18:30:00,31.54
2023-09-21 18:30:00,31.44
2023-09-24 18:30:00,31.57
2023-09-25 18:30:00,31.58
2023-09-26 18:30:00,31.81
2023-09-28 18:30:00,31.91
2023-10-02 18:30:00,32.08
2023-10-03 18:30:00,31.74
2023-10-04 18:30:00,31.86
2023-10-05 18:30:00,32.04
2023-10-08 18:30:00,31.69
2023-10-09 18:30:00,31.97
2023-10-10 18:30:00,32.16
2023-10-11 18:30:00,32.31
2023-10-12 18:30:00,32.32
2023-10-15 18:30:00,32.31
2023-10-16 18:30:00,32.46
2023-10-17 18:30:00,32.43
2023-10-18 18:30:00,32.34
2023-10-19 18:30:00,32.25
2023-10-22 18:30:00,31.37
2023-10-24 18:30:00,31.11
